OBJECTID,ORIG_FID,lon,lat,x,y
1,1,10.127499492000027,56.361680040000067,569659.816599999554455,6246905.445299999788404
2,1,10.127523166000060,56.361641915000064,569661.348600000143051,6246901.226199999451637
3,1,10.127597769000033,56.361262793000037,569666.649000000208616,6246859.107100000604987
4,1,10.127710865000040,56.360955205000039,569674.197100000455976,6246824.988399999216199
5,1,10.127808597000069,56.360726775000046,569680.651800000108778,6246799.664200000464916
6,1,10.127968496000051,56.360467668000069,569691.003200000151992,6246770.988600000739098
7,1,10.128117942000074,56.360235104000083,569700.660500000230968,6246745.256699999794364
8,1,10.128214619000062,56.360093996000046,569706.890899999998510,6246729.649900000542402
9,1,10.128312939000068,56.359919506000040,569713.283800000324845,6246710.329500000923872
10,1,10.128439096000022,56.359662854000078,569721.546400000341237,6246681.893100000917912
11,1,10.128564891000053,56.359389928000041,569729.816599999554455,6246651.645199999213219
12,1,10.128671786000041,56.359101281000051,569736.947800000198185,6246619.628399999812245
13,1,10.128745780000031,56.358834953000041,569742.005599999800324,6246590.062300000339746
14,1,10.128781765000042,56.358552588000066,569744.744400000199676,6246558.672800000756979
15,1,10.128775083000050,56.358256961000052,569744.871299999766052,6246525.764100000262260
16,1,10.128751473000023,56.357957568000074,569743.959099999628961,6246492.419099999591708
17,1,10.128691769000056,56.357706207000035,569740.729100000113249,6246464.383199999108911
18,1,10.128623381000068,56.357499242000074,569736.881500000134110,6246441.279699999839067
19,1,10.128536600000075,56.357315749000065,569731.854600000195205,6246420.769799999892712
20,1,10.128239500000063,56.357329039000035,569713.473500000312924,6246421.947899999096990
21,1,10.127943642000048,56.357342877000065,569695.168200000189245,6246423.188300000503659
22,1,10.127541543000063,56.357369980000044,569670.274500000290573,6246425.797599999234080
23,1,10.127119853000067,56.357395118000056,569644.173999999649823,6246428.168500000610948
24,1,10.126753173000054,56.357419072000027,569621.474499999545515,6246430.463500000536442
25,1,10.126427252000042,56.357448373000068,569601.283599999733269,6246433.394899999722838
26,1,10.125939599000048,56.357484530000079,569571.087500000372529,6246436.925899999216199
27,1,10.125752581000029,56.357517826000048,569559.471699999645352,6246440.442500000819564
28,1,10.125831721000054,56.357587507000062,569564.234600000083447,6246448.277699999511242
29,1,10.125936808000063,56.357681373000048,569570.556599999777973,6246458.830800000578165
30,1,10.126104314000031,56.357818380000026,569580.656499999575317,6246474.248400000855327
31,1,10.126276302000065,56.357949736000080,569591.043700000271201,6246489.041699999943376
32,1,10.126397401000077,56.358081907000042,569598.285099999979138,6246503.874199999496341
33,1,10.126515639000047,56.358224972000073,569605.329800000414252,6246519.916200000792742
34,1,10.126615760000050,56.358447232000060,569611.110799999907613,6246544.754000000655651
35,1,10.126666778000072,56.358667086000082,569613.862300000153482,6246569.274399999529123
36,1,10.126693738000029,56.359035526000071,569614.856599999591708,6246610.307399999350309
37,1,10.126714569000058,56.359292661000040,569615.674999999813735,6246638.946399999782443
38,1,10.126704400000051,56.359493395000072,569614.680999999865890,6246661.276900000870228
39,1,10.126654287000065,56.359802962000060,569611.020700000226498,6246695.679700000211596
40,1,10.126631604000067,56.360051507000037,569609.166400000452995,6246723.318700000643730
41,1,10.126647186000071,56.360352777000060,569609.580099999904633,6246756.864399999380112
42,1,10.126684102000070,56.360617626000078,569611.378200000151992,6246786.378299999982119
43,1,10.126726091000023,56.360914990000026,569613.430399999953806,6246819.516000000759959
44,1,10.126751974000058,56.361204688000043,569614.501600000075996,6246851.784299999475479
45,1,10.126757587000043,56.361428745000069,569614.440000000409782,6246876.726500000804663
46,1,10.126754491000042,56.361460867000062,569614.190200000070035,6246880.298399999737740
47,1,10.126821842000027,56.361493513000028,569618.291600000113249,6246883.999900000169873
48,1,10.127069973000062,56.361577365000073,569633.468299999833107,6246893.583300000056624
49,1,10.127300591000051,56.361646442000051,569647.589800000190735,6246901.504699999466538
50,1,10.127442650000035,56.361688085000083,569656.290199999697506,6246906.283199999481440
51,1,10.127499492000027,56.361680040000067,569659.816599999554455,6246905.445299999788404